Name,Series,Price,Power,HDMI,DP,DVI
갤럭시 GALAX 지포스 RTX 3060 Ti D6 8GB LHR,RTX 3060 Ti,701450,550,TRUE,TRUE,FALSE
이엠텍 XENON 지포스 RTX 3070 TURBO JET OC D6 8GB LHR,RTX 3070,843000,650,TRUE,TRUE,FALSE
이엠텍 지포스 RTX 3070 BLACK EDITION OC D6 8GB LHR,RTX 3070,851710,650,TRUE,TRUE,FALSE
MSI 지포스 RTX 3070 게이밍 Z 트리오 D6 8GB 트라이프로져2 LHR,RTX 3070,899000,650,TRUE,TRUE,FALSE
이엠텍 지포스 RTX 3070 Ti BLACK EDITION D6X 8GB,RTX 3070 Ti,881900,700,TRUE,TRUE,FALSE
MSI 지포스 RTX 3070 Ti 슈프림 X D6X 8GB 트라이프로져2S,RTX 3070 Ti,1048890,700,TRUE,TRUE,FALSE
MSI 지포스 RTX 3080 슈프림 X D6X 12GB 트라이프로져2S LHR,RTX 3080,1349000,750,TRUE,TRUE,FALSE
MSI 지포스 RTX 3080 슈프림 X D6X 10GB 트라이프로져2S LHR,RTX 3080,1296830,750,TRUE,TRUE,FALSE
이엠텍 지포스 RTX 3080 BLACK EDITION OC D6X 10GB LHR,RTX 3080,1102600,750,TRUE,TRUE,FALSE
MSI 지포스 RTX 3080 Ti 슈프림 X D6X 12GB 트라이프로져2S,RTX 3080 Ti,1868300,850,TRUE,TRUE,FALSE
COLORFUL iGAME 지포스 RTX 3080 Ti Advanced OC D6X 12GB,RTX 3080 Ti,1511940,850,TRUE,TRUE,FALSE
GIGABYTE 지포스 RTX 3080 Ti VISION OC D6X 12GB ,RTX 3080 Ti,1470500,850,TRUE,TRUE,FALSE
GIGABYTE 지포스 RTX 3090 Gaming OC D6X 24GB ,RTX 3090,2160000,850,TRUE,TRUE,FALSE
MSI 지포스 RTX 3090 슈프림 X D6X 24GB 트라이프로져2S,RTX 3090,2432540,850,TRUE,TRUE,FALSE
ASUS TUF Gaming 지포스 RTX 3090 O24G OC D6X 24GB,RTX 3090,2402720,850,TRUE,TRUE,FALSE
ZOTAC GAMING 지포스 RTX 3090 Ti AMP EXTREME Holo D6X 24GB,RTX 3090 Ti,2760450,850,TRUE,TRUE,FALSE
갤럭시 갤라즈 GALAX 지포스 RTX 3090 Ti EX GAMER BLACK OC D6X 24GB,RTX 3090 Ti,2745970,850,TRUE,TRUE,FALSE
COLORFUL iGAME 지포스 RTX 3090 Ti Vulcan OC D6X 24GB,RTX 3090 Ti,2914390,850,TRUE,TRUE,FALSE
